siteid,Building Type,Wall North,Wall South,Wall East,Wall West,Window North,Window South,Window East,Window West,SHGC,SC,LPD,EPD,PPL
100016,Multifamily,12204,11841,12243,12717,2703,3364,3199,2712,0.45,0.52,3.1,1.1,1.8
100201,Office,9574,8072,3126,3126,1990,117,360,432,0.29,0.34,3.1,2.8,3.5
101127,Multifamily,8211,10407,6572,3164,1237,3321,1922,891,0.33,0.38,3.1,1.1,1.8
101959,Office,6912,2736,7128,4392,2977,2977,2313,2313,0.4,0.46,3.1,2.8,3.5
102217,Retail,8771,8730,13914,11912,0,246,0,777,0.81,0.94,3.5,1.8,6.9
102938,School,7862,7918,4874,4493,1848,1389,801,256,0.32,0.37,2.4,0.4,10.3
103148,School,1579,1366,880,1827,177,177,381,673,0.45,0.52,2.4,0.4,10.3
103453,Multifamily,11162,11687,22813,24502,3375,3614,6862,7974,0.6,0.69,3.1,1.1,1.8
104111,Retail,1597,3123,2937,3552,405,837,106,1805,0.4,0.46,3.5,1.8,6.9
104148,School,2745,2381,2145,2329,524,582,552,554,0.45,0.52,2.4,0.4,10.3
104916,Retail,2740,2743,2832,2827,0,672,546,56,0.3,0.35,3.5,1.8,6.9
105459,Office,0,0,0,3125,0,0,0,726,0.36,0.42,3.1,2.8,3.5
105601,Multifamily,3276,3276,3780,3780,66,103,1624,1497,0.38,0.44,3.1,1.1,1.8
105632,Multifamily,6839,8104,18661,17400,148,2075,4662,6553,0.4,0.46,3.1,1.1,1.8
105795,School,1163,609,2548,1202,122,57,478,232,0.41,0.48,2.4,0.4,10.3
106207,School,23294,17659,31478,26431,1735,5050,5424,7954,0.4,0.46,2.4,0.4,10.3
106260,Retail,2641,2641,2810,2810,108,478,557,329,0.64,0.74,3.5,1.8,6.9
106376,Office,4045,4045,9418,9419,1785,2253,3304,2237,0.4,0.46,3.1,2.8,3.5
107545,Multifamily,7793,7688,7298,7018,891,1642,439,1656,0.3,0.35,3.1,1.1,1.8
107643,School,7950,7262,5047,5097,1743,2016,410,638,0.25,0.29,2.4,0.4,10.3
107666,Retail,17156,10687,8228,8171,2921,1352,958,2568,0.3,0.35,3.5,1.8,6.9
108274,Multifamily,10647,11698,8148,8148,2409,3038,2567,1818,0.4,0.46,3.1,1.1,1.8
108462,School,2253,3376,5289,4277,724,848,1384,1073,0.45,0.52,2.4,0.4,10.3
108503,School,17838,18236,11733,10106,5599,4889,1446,2309,0.41,0.48,2.4,0.4,10.3
108793,Retail,4205,4555,2292,2292,350,44,63,96,0.36,0.42,3.5,1.8,6.9
108855,School,1540,1560,1280,2080,364,239,165,239,0.28,0.33,2.4,0.4,10.3
109236,School,1941,1488,2278,816,381,164,116,58,0.41,0.48,2.4,0.4,10.3
109651,Multifamily,10428,10818,15539,12079,1795,2185,2908,2468,0.32,0.37,3.1,1.1,1.8
109765,Retail,1800,1440,1800,1440,182,468,595,463,0.41,0.48,3.5,1.8,6.9
109835,Retail,856,856,2773,2773,90,159,591,24,0.38,0.44,3.5,1.8,6.9
109933,School,65143,0,0,0,7540,1010,2245,2172,0.45,0.52,2.4,0.4,10.3
110564,Retail,4356,4356,4114,4114,498,760,1652,0,0.7,0.81,3.5,1.8,6.9
110719,Retail,1083,1863,2757,2769,435,694,1248,641,0.34,0.4,3.5,1.8,6.9
111582,Retail,7956,6700,6734,4994,409,0,0,169,0.36,0.42,3.5,1.8,6.9
112077,Office,43690,40298,9930,11379,20860,19760,4976,5039,0.32,0.37,3.1,2.8,3.5
112551,Multifamily,46141,45802,31395,29853,11690,13961,7619,8223,0.35,0.41,3.1,1.1,1.8
112592,Multifamily,12475,12492,13350,13350,5826,5140,6222,4455,0.41,0.48,3.1,1.1,1.8
112660,School,18827,17696,12671,13031,4302,4185,2158,2549,0.32,0.37,2.4,0.4,10.3
113050,School,22265,22234,29534,26388,6680,6670,8860,7916,0.33,0.38,2.4,0.4,10.3
113650,School,2740,1942,2737,2612,128,0,0,290,0.32,0.37,2.4,0.4,10.3
113826,Multifamily,31520,28983,15925,16736,5874,6652,1480,2284,0.41,0.48,3.1,1.1,1.8
114032,Office,4635,4681,3852,3873,994,1131,1107,879,0.27,0.32,3.1,2.8,3.5
114342,Multifamily,30064,27826,31538,28240,9741,10069,10343,10553,0.35,0.41,3.1,1.1,1.8
114495,Retail,1450,1795,880,603,793,816,187,116,0.4,0.46,3.5,1.8,6.9
114617,Office,2838,2845,1783,1783,390,719,228,288,0.32,0.37,3.1,2.8,3.5
115438,Multifamily,42127,34244,41320,41644,18538,14328,15789,15066,0.45,0.52,3.1,1.1,1.8
