,siteid,totalconditionedfloorareaofallbuildings,totalgrossfloorareaofallbuildings,detail.primarybuildingtypecategory,city,ua.total,WallNorth,WallSouth,WallEast,WallWest,WindowNorth,WindowSouth,WindowEast,WindowWest,SC,LPD,EPD,PPL,Heat Gain UA [kBtu],Heat Gain Solar [kBtu],Heat Gain Internal [kBtu],Cooling Load - Envelop and Internal [kBtu],Cooling [kBtu / sf],Cooling [sf / ton]
0,100016,122970.0,167806.0,Multifamily,Portland,8137.35076086957,12204,11841,12243,12717,2703,3364,3199,2712,0.52,3.1,1.1,1.8,61.83786578260873,450.237788,737.82,1249.8956537826089,0.02007026228053518,597.8995108418691
1,100201,,87500.0,Office,Tualatin,7583.092,9574,8072,3126,3126,1990,117,360,432,0.34,3.1,2.8,3.5,57.6254992,41.1448416,822.5,921.2703408,0.010528803894857143,1139.7306018646118
2,101127,49553.0,53434.0,Multifamily,Portland,5160.63979591837,8211,10407,6572,3164,1237,3321,1922,891,0.38,3.1,1.1,1.8,39.21486244897961,232.54631239999998,297.318,569.0791748489796,0.012045533292036652,996.2199023544474
3,101959,140598.0,140598.0,Office,Portland,4275.508684,6912,2736,7128,4392,2977,2977,2313,2313,0.46,3.1,2.8,3.5,32.487865998400004,340.95850440000004,1321.6212,1695.0675703984002,0.012056128610637422,995.3443918483171
4,102217,108792.0,108792.0,Retail,Albany,12540.126,8771,8730,13914,11912,0,246,0,777,0.94,3.5,1.8,6.9,96.86647335,76.3703376,1327.2623999999998,1500.49921095,0.013792367186465915,870.0464421926994
5,102938,52641.0,55301.0,School,Eugene,4273.76455058667,7862,7918,4874,4493,1848,1389,801,256,0.37,2.4,0.4,10.3,32.68829881198803,105.0387524,689.5971000000001,827.3241512119881,0.01578983417077617,759.9826489761118
6,103148,,71918.0,School,Portland,1614.604,1579,1366,880,1827,177,177,381,673,0.52,2.4,0.4,10.3,12.2649904,50.26564400000001,942.1258,1004.6564344000001,0.013969471264495676,859.0160481233662
7,103453,164179.0,186400.0,Multifamily,Portland,10084.7443076923,11162,11687,22813,24502,3375,3614,6862,7974,0.69,3.1,1.1,1.8,76.63805673846147,1045.9656318000002,985.074,2107.6776885384616,0.01283768136325877,934.7482353272766
8,104111,28476.0,28476.0,Retail,Bend,2460.48,1597,3123,2937,3552,405,837,106,1805,0.46,3.5,1.8,6.9,19.103728,109.44274920000001,347.40719999999993,475.9536771999999,0.016714204143840422,717.9522217587777
9,104148,45791.0,46791.0,School,Portland,2810.26,2745,2381,2145,2329,524,582,552,554,0.52,2.4,0.4,10.3,21.351976000000004,81.6142912,599.8621,702.8283672,0.01534861364023498,781.8295698409596
10,104916,14114.0,14114.0,Retail,Albany,4830.07736666667,2740,2743,2832,2827,0,672,546,56,0.35,3.5,1.8,6.9,37.30634765750003,41.744864,172.1908,251.24201165750003,0.01780090772690237,674.122925869926
11,105459,174600.72,178164.0,Office,Albany,13823.8246,0,0,0,3125,0,0,0,726,0.42,3.1,2.8,3.5,106.783045035,20.5881984,1641.2467680000002,1768.6180114350002,0.010129483859972166,1184.6605578216472
12,105601,29400.0,29400.0,Multifamily,Portland,2612.54211428571,3276,3276,3780,3780,66,103,1624,1497,0.44,3.1,1.1,1.8,19.849320068571398,98.80942719999999,176.4,295.0587472685714,0.01003601181185617,1195.6940889431446
13,105632,80937.0,83272.0,Multifamily,Portland,8488.99407346939,6839,8104,18661,17400,148,2075,4662,6553,0.46,3.1,1.1,1.8,64.51035495836737,461.84767280000005,485.622,1011.9800277583674,0.012353121028287832,971.4144281854597
14,105795,54691.0,54691.0,School,Stayton,1276.636,1163,609,2548,1202,122,57,478,232,0.48,2.4,0.4,10.3,9.7921813,27.796569599999998,716.4521000000001,754.0408509000001,0.012280395604377709,977.1672172940623
15,106207,243000.0,243000.0,School,Portland,18763.6314,23294,17659,31478,26431,1735,5050,5424,7954,0.46,2.4,0.4,10.3,142.59759864,708.8975636,3183.3000000000006,4034.7951622400005,0.016604095317860085,722.7132686411575
16,106260,16400.0,16400.0,Retail,Portland,2178.7118,2641,2641,2810,2810,108,478,557,329,0.74,3.5,1.8,6.9,16.55220968,87.816688,200.08,304.44889768,0.01669127728508772,718.9383888985542
17,106376,66500.0,66500.0,Office,Salem,8367.606,4045,4045,9418,9419,1785,2253,3304,2237,0.46,3.1,2.8,3.5,64.21537604999999,315.57445320000005,625.1,1004.88982925,0.01547007757824407,775.6910034424054
18,107545,45093.0,47500.0,Multifamily,Portland,3480.74782068966,7793,7688,7298,7018,891,1642,439,1656,0.35,3.1,1.1,1.8,26.447683437241416,125.18760099999999,270.558,422.1932844372414,0.00938762211523348,1278.2789776473173
19,107643,49563.0,53762.0,School,Eugene,4688.105,7950,7262,5047,5097,1743,2016,410,638,0.29,2.4,0.4,10.3,35.858003249999996,102.6015766,649.2753,787.73487985,0.015893607728547504,755.0205217690159
20,107666,98000.0,98000.0,Retail,Salem,12377.18071,17156,10687,8228,8171,2921,1352,958,2568,0.35,3.5,1.8,6.9,94.98886194925001,166.35562299999998,1195.6,1456.94448494925,0.014866780458665817,807.1687096855745
21,108274,81512.0,82229.0,Multifamily,Beaverton,7365.76358510638,10647,11698,8148,8148,2409,3038,2567,1818,0.46,3.1,1.1,1.8,55.973803246808494,329.6860204,489.072,874.7318236468085,0.0137311915051929,873.9227033183397
22,108462,,,School,Eugene,3756.266,2253,3376,5289,4277,724,848,1384,1073,0.52,2.4,0.4,10.3,28.729434899999998,148.04612160000002,0.0,176.77555650000002,0.005754412646484376,2085.356184411163
23,108503,105630.0,105630.0,School,Eugene,12266.8056382979,17838,18236,11733,10106,5599,4889,1446,2309,0.48,2.4,0.4,10.3,93.83506313297892,468.98857919999995,1383.7530000000002,1946.576642332979,0.018428255631288262,651.1739494011522
24,108793,,,Retail,Bend,6882.011475,4205,4555,2292,2292,350,44,63,96,0.42,3.5,1.8,6.9,53.4442891225,10.6489656,0.0,64.0932547225,0.002816419331304654,4260.72917005623
25,108855,52096.0,52096.0,School,Portland,971.356,1540,1560,1280,2080,364,239,165,239,0.33,2.4,0.4,10.3,7.376305599999999,21.480003600000003,682.4576000000001,711.3139092000001,0.013653906426597053,878.8693598064115
26,109236,50026.0,51026.0,School,Portland,1254.63,1941,1488,2278,816,381,164,116,58,0.48,2.4,0.4,10.3,9.529188000000001,19.798243199999998,655.3406000000001,684.6680312000001,0.013686243777235839,876.792799786268
27,109651,108800.0,108800.0,Multifamily,Portland,7844.8817,10428,10818,15539,12079,1795,2185,2908,2468,0.37,3.1,1.1,1.8,59.615100919999996,246.8659314,652.8,959.2810323199999,0.009037856983284014,1327.7483835155417
28,109765,7160.0,7160.0,Retail,Portland,1939.01195,1800,1440,1800,1440,182,468,595,463,0.48,3.5,1.8,6.9,14.730490820000002,62.936198399999995,87.352,165.01868922,0.02304730296368715,520.6682976705322
29,109835,9800.0,9800.0,Retail,Newberg,1730.388,856,856,2773,2773,90,159,591,24,0.44,3.5,1.8,6.9,13.1449488,27.527807999999997,119.56,160.2327568,0.016350281306122448,733.9323266264867
30,109933,141491.0,141491.0,School,Portland,14427.90559625,65143,0,0,0,7540,1010,2245,2172,0.52,2.4,0.4,10.3,109.6460825315,322.62788480000006,1853.5321000000001,2285.8060673315003,0.016661001256106273,720.2448289596033
31,110564,33125.0,33734.0,Retail,Medford,4999.43942857143,4356,4356,4114,4114,498,760,1652,0,0.81,3.5,1.8,6.9,41.239375285714296,173.2905252,404.125,618.6549004857143,0.018676374354285714,642.5229957572751
32,110719,32953.0,33525.0,Retail,Sherwood,2527.276,1083,1863,2757,2769,435,694,1248,641,0.4,3.5,1.8,6.9,19.2012976,88.205752,402.0266,509.43364959999997,0.01545940125633478,776.2266986299211
33,111582,23556.0,41295.0,Retail,Corvallis,4764.28228,7956,6700,6734,4994,409,0,0,169,0.42,3.5,1.8,6.9,36.798080613,9.440936400000002,287.3832,333.622217013,0.014162940100738666,847.2817024322613
34,112077,266795.0,715000.0,Office,Portland,26133.946,43690,40298,9930,11379,20860,19760,4976,5039,0.37,3.1,2.8,3.5,198.61198960000002,1314.463628,2507.873,4020.9486176,0.016195282797175758,740.9564964245416
35,112551,403566.0,855366.0,Multifamily,Portland,36578.3091846154,46141,45802,31395,29853,11690,13961,7619,8223,0.41,3.1,1.1,1.8,277.989149803077,1237.9622984,2421.396,3937.347448203077,0.009756390400090883,1229.9630814166906
36,112592,159293.0,159293.0,Multifamily,Portland,11521.838,12475,12492,13350,13350,5826,5140,6222,4455,0.48,3.1,1.1,1.8,87.5599688,710.372448,955.758,1753.6904168,0.017258184488510554,695.3222691522892
37,112660,149833.0,149833.0,School,Portland,13021.98,18827,17696,12671,13031,4302,4185,2158,2549,0.37,2.4,0.4,10.3,98.96104799999999,341.8332912,1962.8123000000003,2403.6066392000002,0.016049080827424116,747.7063720368841
38,113050,,237036.0,School,Portland,19550.7542,22265,22234,29534,26388,6680,6670,8860,7916,0.38,2.4,0.4,10.3,148.57973192,795.6692016,3105.1716000000006,4049.4205335200004,0.017083567616395824,702.4293911819152
39,113650,29581.0,29581.0,School,Helix,1442.613,2740,1942,2737,2612,128,0,0,290,0.37,2.4,0.4,10.3,11.631078200000001,8.5264576,387.51110000000006,407.66863580000006,0.013781435238835741,870.7365954297923
40,113826,,160781.0,Multifamily,Portland,14540.1124068966,31520,28983,15925,16736,5874,6652,1480,2284,0.48,3.1,1.1,1.8,110.49885429241417,571.8622656000001,964.686,1647.0471198924142,0.010421776396284551,1151.4351818446323
41,114032,21302.0,22420.0,Office,Medford,2535.392,4635,4681,3852,3873,994,1131,1107,879,0.32,3.1,2.8,3.5,20.910984,93.8621952,200.23880000000003,315.01197920000004,0.01588963325094578,755.2093752249278
42,114342,309574.0,376634.0,Multifamily,Portland,21898.206,30064,27826,31538,28240,9741,10069,10343,10553,0.41,3.1,1.1,1.8,166.4203656,1169.5505758,1857.444,3193.4149414,0.011221974858030417,1069.330501254227
43,114495,7454.0,7454.0,Retail,Portland,2077.9352,1450,1795,880,603,793,816,187,116,0.46,3.5,1.8,6.9,15.78630752,63.19900440000001,90.93879999999999,169.92411191999997,0.02890849130996937,415.1029492106938
44,114617,15762.0,15762.0,Office,Crescent,1449.08935,2838,2845,1783,1783,390,719,228,288,0.37,3.1,2.8,3.5,11.248593951666667,47.921186399999996,148.1628,207.33258035166665,0.015387604300999454,779.8484913743575
45,115438,353359.0,353359.0,Multifamily,Portland,17316.7667228589,42127,34244,41320,41644,18538,14328,15789,15066,0.52,3.1,1.1,1.8,131.60142709372764,2215.8988176000003,2120.154,4467.654244693727,0.015534421436732693,772.4780770801543
